ShortIdentifier; Name
Anwendungsforschung_Software_Engineering_Ubiquitärer_Systeme;Anwendungsforschung Software Engineering Ubiquitärer Systeme
Application_Development_for_Mobile_and_Ubiquitous_Computing;Application Development for Mobile and Ubiquitous Computing
Applied_Bioinformatics;Applied Bioinformatics
Applied_Cognitive_Research;Applied Cognitive Research
Applying_Deduction_Systems;Applying Deduction Systems
Arbeits-_und_Organisationspsychologie;Arbeits- und Organisationspsychologie
Arbeits-_und_Verkehrspsychologie;Arbeits- und Verkehrspsychologie
Arbeitsgestaltung/Ergonomie;Arbeitsgestaltung/Ergonomie
Arbeitsumweltgestaltung/Beurteilung_von_Arbeitsumweltbedingungen;Arbeitsumweltgestaltung/Beurteilung von Arbeitsumweltbedingungen
Arbeitswirtschaft;Arbeitswirtschaft
Arbeitswissenschaften/Technische_Betriebsführung;Arbeitswissenschaften/Technische Betriebsführung
Architektur_von_Datenbanksystemen_I;Architektur von Datenbanksystemen I
Architektur_von_Datenbanksystemen_II;Architektur von Datenbanksystemen II
Architekturen_der_Schienenverkehrstelematik;Architekturen der Schienenverkehrstelematik
Aufbau-_und_Verbindungstechnik_der_Elektronik;Aufbau- und Verbindungstechnik der Elektronik
Ausgewählte_Kapitel_der_Softwaretechnologie;Ausgewählte Kapitel der Softwaretechnologie
Automata_and_Logic;Automata and Logic
Automatisierungstechnik;Automatisierungstechnik
Automotive_Software_Engineering;Automotive Software Engineering
Autonome_und_kooperative_Systeme_in_der_BMT;Autonome und kooperative Systeme in der BMT
Bahn-_und_ÖPNV;Bahn- und ÖPNV
Bahnbetriebsprozesse_und_-betriebsplanung;Bahnbetriebsprozesse und -betriebsplanung
Bahnbetriebssicherung;Bahnbetriebssicherung
Bahnsicherungs-_und_-leittechnik;Bahnsicherungs- und -leittechnik
Barrierefreie_Dokumente;Barrierefreie Dokumente
Barrierefreie_Literaturerstellung;Barrierefreie Literaturerstellung
Bemessungsverfahren_im_Straßenverkehr_(VPL_509-1);Bemessungsverfahren im Straßenverkehr (VPL 509-1)
Berufs-_und_erwachsenenpädagogische_Grundlagen;Berufs- und erwachsenenpädagogische Grundlagen
Betreuung_Praktikum_Programmieren_in_C;Betreuung Praktikum Programmieren in C
Betreuung_Praktikum_Programmieren_in_Java;Betreuung Praktikum Programmieren in Java
Betriebsmittel_und_Berechnungsgrundlagen_elektrischer_Energieversorgungssysteme;Betriebsmittel und Berechnungsgrundlagen elektrischer Energieversorgungssysteme
Betriebsprozesse_und_Betriebsplanung_im_ÖV;Betriebsprozesse und Betriebsplanung im ÖV
Betriebssteuerung_und_Betriebsplanung_im_ÖV;Betriebssteuerung und Betriebsplanung im ÖV
Betriebssysteme_und_Sicherheit;Betriebssysteme und Sicherheit
Big_Data_Platforms;Big Data Platforms
Bildgebende_Verfahren_und_Geräte_in_der_Medizin;Bildgebende Verfahren und Geräte in der Medizin
Bildsprache;Bildsprache 
Biodiversität_der_Pflanzen;Biodiversität der Pflanzen
Biomedizinische_Technik;Biomedizinische Technik
Biomedizinische_Technik_in_der_Klinik;Biomedizinische Technik in der Klinik
Biopsychologie;Biopsychologie
Biosignale_und_Monitoring;Biosignale und Monitoring
Biosignalverarbeitung;Biosignalverarbeitung
BIW4-76_Gebäudesystemtechnik;BIW4-76 Gebäudesystemtechnik 
Bremstechnik/Bremsbetrieb;Bremstechnik/Bremsbetrieb
Buchführung;Buchführung
C++-Programmierung_für_Computergraphik;C++-Programmierung für Computergraphik
CAD_im_Straßenentwurf;CAD im Straßenentwurf
Cockpittechnologien;Cockpittechnologien
Codierungstheorie;Codierungstheorie
Communication-Surveillance;Communication-Surveillance
Compilerbau;Compilerbau 
Complex_Lab:_SAT_Solving;Complex Lab: SAT Solving
Component_Based_Software_Engineering;Component Based Software Engineering 
Computer_und_Medien_in_der_Schule;Computer und Medien in der Schule
Computer_Vision_1;Computer Vision 1
Computer_Vision_2;Computer Vision 2
Computer-_und_robotergestuetzte_Chirurgie;Computer- und robotergestützte Chirurgie
Computer-_und_Präsentationsgraphik;Computer- und Präsentationsgraphik
Computerarithmetik;Computerarithmetik 
Computergraphik_I;Computergraphik I
Computergraphik_II;Computergraphik II
Computergraphik_III;Computergraphik III
Computertechnik;Computertechnik 
Cooperative_Mobile_Systems;Cooperative Mobile Systems
Darstellungslehre_1;Darstellungslehre 1
Database_Systems-Design_and_Implementation;Database Systems: Design and Implementation
Database_Theory; Database Theory
Datenbankadministration;Datenbankadministration 
Datenbanken_-_Grundlagen;Datenbanken - Grundlagen
Datenbanken_-_Übung_zur_Vorlesung;Datenbanken - Übung zur Vorlesung
Datenbanken_für_Biotechnologen;Datenbanken für Biotechnologen
Datenbanken_für_Lehramt;Datenbanken für Lehramt
Datenbanken_Masterpraktikum;Datenbanken Masterpraktikum
Datenbankprogrammierung;Datenbankprogrammierung
Datenintegration_und_-analyse;Datenintegration und -analyse
Datenintensives_Rechnen_und_Data_Life_Cycle;Datenintensives Rechnen und Data Life Cycle
Datensicherheit;Datensicherheit 
Datenverarbeitungssysteme_der_Verkehrsplanung;Datenverarbeitungssysteme der Verkehrsplanung
Deduction_Systems;Deduction Systems 
Der_digitale_Steuerpflichtige_-_open_source?_Steuern_und_Datenschutz;Der digitale Steuerpflichtige - open source? Steuern und Datenschutz
Description_Logic;Description Logic 
Design_and_Analysis_of_Petri_Nets;Design and Analysis of Petri Nets
Design_Patterns_and_Frameworks;Design Patterns and Frameworks
Diagnostische_und_therapeutische_Systeme;Diagnostische und therapeutische Systeme
Didaktik_der_Informatik;Didaktik der Informatik
Die_digitale_Schwelle_-_Freiheit_und_Privatheit_in_einer_digitalisieren_Welt;Die digitale Schwelle - Freiheit und Privatheit in einer digitalisieren Welt
Dieseltriebfahrzeuge;Dieseltriebfahrzeuge
Digitale_Menschmodelle_Ergonomie;Digitale Menschmodelle Ergonomie
Discrete_Algorithms_for_Computational_Biology;Discrete Algorithms for Computational Biology
Distributed_Operating_Systems;Distributed Operating Systems
Distributed_Systems;Distributed Systems
Distributionstechnik_I;Distributionstechnik I
Distributionstechnik_II;Distributionstechnik II
Doktorandenseminar_Computer_Vision_and_Image_Analysis_for_Light_Microscopy;Doktorandenseminar Computer Vision and Image Analysis for Light Microscopy
Doktorandenseminar_Datenbanken;Doktorandenseminar Datenbanken
Doktorandenseminar_Datenschutz_und_Datensicherheit;Doktorandenseminar Datenschutz und Datensicherheit
Doktorandenseminar_Grundlagen_der_Programmierung;Doktorandenseminar Grundlagen der Programmierung
Doktorandenseminar_Grundlagen_der_Programmierung;Doktorandenseminar Grundlagen der Programmierung
Drahtgebundene_und_drahtlose_Sensor-Aktor-Netzwerke;Drahtgebundene und drahtlose Sensor-Aktor-Netzwerke 
Dynamische_Netzwerke;Dynamische Netzwerke
E-Learning;E-Learning
Echtzeit-AG;Echtzeit-AG
Effiziente_parallele_Algorithmen;Effiziente parallele Algorithmen 
Einführung_in_Computational_Science_and_Engineering;Einführung in Computational Science and Engineering
Einführung_in_das_Datenschutzrecht;Einführung in das Datenschutzrecht
Einführung_in_das_Medien-_und_IT-Recht;Einführung in das Medien- und IT-Recht 
Einführung_in_die_Angewandte_Informatik;Einführung in die Angewandte Informatik 
Einführung_in_die_Angewandte_Informatik_-_Mensch-Computer-Interaktion;Einführung in die Angewandte Informatik - Mensch-Computer-Interaktion
Einführung_in_die_Angewandte_Informatik_-_Prozesskommunikation;Einführung in die Angewandte Informatik - Prozesskommunikation
Einführung_in_die_Bioinformatik;Einführung in die Bioinformatik 
Einführung_in_die_Computergraphik;Einführung in die Computergraphik
Einführung_in_die_Erkenntnistheorie;Einführung in die Erkenntnistheorie
Einführung_in_die_Informatik;Einführung in die Informatik 
Einführung_in_die_Kommunikationsforschung;Einführung in die Kommunikationsforschung
Einführung_in_die_Logistik;Einführung in die Logistik
Einführung_in_die_Mediengestaltung;Einführung in die Mediengestaltung
Einführung_in_die_Medieninformatik;Einführung in die Medieninformatik
Einführung_in_die_Produktion;Einführung in die Produktion
Einführung_in_die_Prozessanalyse_und_Systemidentifikation;Einführung in die Prozessanalyse und Systemidentifikation
Einführung_in_die_Simulation;Einführung in die Simulation 
Einführung_in_die_Systemtheorie;Einführung in die Systemtheorie
Einführung_in_die_Technische_Informatik;Einführung in die Technische Informatik 
Einführung_in_die_technologieorientierte_Betriebswirtschaftslehre;Einführung in die technologieorientierte Betriebswirtschaftslehre
Einführung_in_die_Theoretische_Informatik;Einführung in die Theoretische Informatik
Einführung_in_die_Verkehrssicherungstechnik;Einführung in die Verkehrssicherungstechnik
Einführung_Verkehrstelematik_(VIW_108-2);Einführung Verkehrstelematik (VIW 108-2)
Einführungspraktikum:_RoboLab;Einführungspraktikum: RoboLab
Einführungspraktikum:_Strategiespiele;Einführungspraktikum: Strategiespiele
eLearning;eLearning
Electronic_System_Level_Modelling;Electronic System Level Modelling
Elektrische_Bahnen;Elektrische Bahnen
Elektrische_Fahrzeuge;Elektrische Fahrzeuge
Elektrische_Nahverkehrssysteme;Elektrische Nahverkehrssysteme
Elektrische_Netzwerke;Elektrische Netzwerke 
Elektronische_Medien_/_Digitaler_Rundfunk;Elektronische Medien / Digitaler Rundfunk 
Elektrooptische_Messverfahren;Elektrooptische Messverfahren
Energieversorgung_elektrischer_Fahrzeuge;Energieversorgung elektrischer Fahrzeuge
Energy_Data_Management;Energy Data Management
Engineering_industrieller_Kommunikationssysteme;Engineering industrieller Kommunikationssysteme 
Engineering_Adaptive_Mobile_Applications;Engineering Adaptive Mobile Applications
Enterprise_Software:_Applications,_Technologies,_and_Programming;Enterprise Software: Applications, Technologies, and Programming 
Entwicklung_verteilter_Systeme_auf_Basis_Serviceorientierter_Architekturen;Entwicklung verteilter Systeme auf Basis Serviceorientierter Architekturen
Entwicklungsprozesse_für_ubiquitäre_Systeme;Entwicklungsprozesse für ubiquitäre Systeme
Entwurf_industrieller_ICs;Entwurf und Analyse mit Petri-Netzen 
Entwurf_stadttechnischer_Anlagen;Entwurf von Bahnanlagen
Entwurf_und_Analyse_mit_Petri-Netzen;Entwurf von Straßen
Entwurf_von_Bahnanlagen;Entwurf, Test und Analyse vernetzter Anwendersysteme - Anwendung
Entwurf_von_Straßen;Entwurf, Test und Analyse vernetzter Anwendersysteme - Praktika und Projektarbeiten
Entwurf,_Test_und_Analyse_vernetzter_Anwendersysteme_-_Anwendung;Entwurf industrieller ICs
Entwurf,_Test_und_Analyse_vernetzter_Anwendersysteme_-_Praktika_und_Projektarbeiten;Entwurf stadttechnischer Anlagen
Ergänzungen_zum_maschinellen_Übersetzen_natürlicher_Sprachen;Ergänzungen zum Maschinellen Übersetzen natürlicher Sprachen
Ergänzungen_zum_Maschinellen_Übersetzen_natürlicher_Sprachen;Ergänzungen zum maschinellen Übersetzen natürlicher Sprachen
Erweiterte_Verkehrssystemtheorie_I;Erweiterte Verkehrssystemtheorie I
Erweiterte_Verkehrssystemtheorie_II;Erweiterte Verkehrssystemtheorie II
Ethernet-basierte_Systeme_in_der_Industrie;Ethernet-basierte Systeme in der Industrie 
Existential_Rules;Existential Rules
Fachdidaktik_Informatik_-_ausgewählte_Aspekte;Fachdidaktik Informatik - ausgewählte Aspekte
Fachdidaktik_Informatik_-_Grundlagen;Fachdidaktik Informatik - Grundlagen
Fachdidaktik_Informatik_-_informatische_Bildung_am_Gymnasium;Fachdidaktik Informatik - informatische Bildung am Gymnasium
Fachdidaktik_Informatik_-_informatische_Bildung_an_Beruflichen_Schulen;Fachdidaktik Informatik - informatische Bildung an Beruflichen Schulen
Fahrzeugakustik;Fahrzeugakustik
Fahrzeugkommunikation_I/2;Fahrzeugkommunikation I/2
Fahrzeugkommunikation_II;Fahrzeugkommunikation II
FAQS/Fertigungsinformatik;FAQS/Fertigungsinformatik
Fertigungsplanung_II_-_Teilefertigung;Fertigungsplanung II - Teilefertigung
Fertigungstechnik;Fertigungstechnik
Fertigungstechnisches_Praktikum;Fertigungstechnisches Praktikum
Flugmeteorolgie;Flugmeteorolgie
Flugplanung;Flugplanung
Formale_Baumsprachen;Formale Baumsprachen
Formale_Systeme;Formale Systeme
Formale_Übersetzungsmodelle;Formale Übersetzungsmodelle
Forschungskolleg_Datenbanken;Forschungskolleg Datenbanken
Forschungskolleg_Datenbanken_-_Bachelor;Forschungskolleg Datenbanken - Bachelor
Forschungskolleg_Datenbanken_-_Master/Diplom;Forschungskolleg Datenbanken - Master/Diplom
Forschungskolleg_Mediengestaltung_I;Forschungskolleg Mediengestaltung I
Forschungskolleg_Mediengestaltung_II;Forschungskolleg Mediengestaltung II
Forschungskolleg_Softwaretechnologie;Forschungskolleg Softwaretechnologie
Forschungslinie;Forschungslinie 
Forschungspraktikum_Datenbank-Grundlagen;Forschungspraktikum Datenbank-Grundlagen
Forschungspraktikum_DB-Anwendungsentwicklung;Forschungspraktikum DB-Anwendungsentwicklung
Forschungspraktikum_DB-Systemarchitektur;Forschungspraktikum DB-Systemarchitektur
Forschungspraktikum_Multimedia-Technologie;Forschungspraktikum Multimedia-Technologie
Forschungsprojekt_Accessible_Computing;Forschungsprojekt Accessible Computing
Forschungsprojekt_Computer_Vision;Forschungsprojekt Computer Vision
Forschungsprojekt_Entwurf,_Test_und_Analyse_von_Anwendersystemen;Forschungsprojekt Entwurf, Test und Analyse von Anwendersystemen
Forschungsprojekt_Foundations_of_Natural_User_Interfaces;Forschungsprojekt Foundations of Natural User Interfaces
Forschungsprojekt_Grundlagen_Betriebssysteme;Forschungsprojekt Grundlagen Betriebssysteme
Forschungsprojekt_Interaktive_Multimediale_Technologien;Forschungsprojekt Interaktive Multimediale Technologien
Forschungsprojekt_Internet_of_Things;Forschungsprojekt Internet of Things
Forschungsprojekt_Mobile_and_Ubiquitous_Computing;Forschungsprojekt Mobile and Ubiquitous Computing
Forschungsprojekt_Service_and_Cloud_Computing;Forschungsprojekt Service and Cloud Computing
Forschungsprojekt_Theoretical_Computer_Science;Forschungsprojekt Theoretical Computer Science
Forschungsprojekt_Verarbeitung_natürlicher_Sprachen;Forschungsprojekt Verarbeitung natürlicher Sprachen
Forschungsprojekt_VLSI-EDA;Forschungsprojekt VLSI-EDA
Forschungsseminar_Mediengestaltung;Forschungsseminar Mediengestaltung
Forschungsseminar_Mediengestaltung;Forschungsseminar Mediengestaltung
Forschungsseminar_Multimedia-Technologie;Forschungsseminar Multimedia-Technologie
Forschungsseminar_Rechnernetze;Forschungsseminar Rechnernetze
Forschungsseminar_RoSI;Forschungsseminar RoSI
Foundations_of_Concurrent_and_Distributed_Systems;Foundations of Concurrent and Distributed Systems
Foundations_of_Constraint_Programming;Foundations of Constraint Programming
Foundations_of_Logic_Programming;Foundations of Logic Programming
Foundations_of_Semantic_Web_Technologies;Foundations of Semantic Web Technologies
Foundations_of_Virtual_Reality;Foundations of Virtual Reality
Funktionale_Programmierung_und_Typtheorie;Funktionale Programmierung und Typtheorie
Future_Proof_Software_Systems;Future Proof Software Systems
Fuzzy_Description_Logic;Fuzzy Description Logic
Geodateninfrastruktur;Geodateninfrastruktur
Geodätische_Messverfahren;Geodätische Messverfahren
German;German 
Geschichte_Erwachsenenbildung/Weiterbildung;Geschichte Erwachsenenbildung/Weiterbildung
GIS_Application;GIS-Anwendungsseminar
GIS-Anwendungsseminar;GIS Application
Graduiertenseminar_Multimedia-Technologie;Graduiertenseminar Multimedia-Technologie
Grundlagen_der_Elektroenergieanlagen;Grundlagen der Elektroenergieanlagen
Grundlagen_der_Gentechnik;Grundlagen der Gentechnik
Grundlagen_der_Geoinformatik_und_Geosoftwareentwicklung;Grundlagen der Geoinformatik und Geosoftwareentwicklung
Grundlagen_der_Gestaltung;Grundlagen der Gestaltung
Grundlagen_der_Informations-_und_Kommunikationstechnik;Grundlagen der Informations- und Kommunikationstechnik
Grundlagen_der_Ingenieurpsychologie_und_kognitiven_Ergonomie_I;Grundlagen der Ingenieurpsychologie und kognitiven Ergonomie I
Grundlagen_der_Kartographie;Grundlagen der Kartographie
Grundlagen_der_Konstruktion;Grundlagen der Konstruktion
Grundlagen_der_Prozessautomatisierung;Grundlagen der Prozessautomatisierung
Grundlagen_der_Schienenfahrzeugtechnik;Grundlagen der Schienenfahrzeugtechnik
Grundlagen_der_Straßenverkehrstechnik;Grundlagen der Straßenverkehrstechnik
Grundlagen_der_technologieorientierten_BWL;Grundlagen der technologieorientierten BWL
Grundlagen_der_VWL;Grundlagen der VWL
Grundlagen_des_Bildungs-_und_Projektmanagements;Grundlagen des Bildungs- und Projektmanagements
Grundlagen_des_Straßenentwurfs;Grundlagen des Straßenentwurfs
Grundlagenforschung_Datenschutz_und_Datensicherheit_-_Praktika_und_Projektarbeiten;Grundlagenforschung Datenschutz und Datensicherheit - Praktika und Projektarbeiten
Grundlagenforschung_Formale_Methoden_(Praktika_und_Projektarbeiten);Grundlagenforschung Formale Methoden (Praktika und Projektarbeiten)
Grundlagenkenntnisse_BWL/VWL_-_erfolgreich_ins_Berufsleben;Grundlagenkenntnisse BWL/VWL - erfolgreich ins Berufsleben
Grundlagenpraktikum_Computer_Vision;Grundlagenpraktikum Computer Vision
Halbleitertechnologie_I;Halbleitertechnologie I
Halbleitertechnologie_II;Halbleitertechnologie II
Handhabungs-_und_Robotertechnik;Handhabungs- und Robotertechnik
Hardwarepraktikum;Hardwarepraktikum
Hauptseminar_Advanced_Topics_in_Automatic_Structures;Hauptseminar Advanced Topics in Automatic Structures 
Hauptseminar_Advanced_User_Interfaces;Hauptseminar Advanced User Interfaces
Hauptseminar_Ausgewählte_Themen_der_Automatentheorie_und_Logik;Hauptseminar Ausgewählte Themen der Automatentheorie und Logik 
Hauptseminar_Betriebssysteme;Hauptseminar Betriebssysteme 
Hauptseminar_Bildanalyse;Hauptseminar Bildanalyse 
Hauptseminar_Current_Topics_in_Dependable_Systems;Hauptseminar Current Topics in Dependable Systems
Hauptseminar_Current_Topics_in_Software_Fault_Tolerance;Hauptseminar Current Topics in Software Fault Tolerance
Hauptseminar_Datenbanken;Hauptseminar Datenbanken
Hauptseminar_Datenschutz_in_Online_Social_Networks;Hauptseminar Datenschutz in Online Social Networks
Hauptseminar_Didaktik;Hauptseminar Didaktik
Hauptseminar_Graphische_Datenverarbeitung;Hauptseminar Graphische Datenverarbeitung
Hauptseminar_Internet_of_Things;Hauptseminar Internet of Things
Hauptseminar_Mobile_and_Ubiquitous_Computing;Hauptseminar Mobile and Ubiquitous Computing 
Hauptseminar_Rechnerarchitektur_und_Programmierung;Hauptseminar Rechnerarchitektur und Programmierung
Hauptseminar_Selected_Topics_of_Logics_and_Complexity;Hauptseminar Selected Topics of Logics and Complexity 
Hauptseminar_Service_and_Cloud_Computing;Hauptseminar Service and Cloud Computing 
Hauptseminar_Software_Engineering_Ubiquitärer_Systeme_(SEUS);Hauptseminar Software Engineering Ubiquitärer Systeme (SEUS)
Hauptseminar_Softwaretechnologie;Hauptseminar Softwaretechnologie 
Hauptseminar_Technische_Informatik;Hauptseminar Technische Informatik 
Hauptseminar_Technische_Informationssysteme;Hauptseminar Technische Informationssysteme 
Hauptseminar_Technischer_Datenschutz;Hauptseminar Technischer Datenschutz 
Hauptseminar_Theoretische_Informatik;Hauptseminar Theoretische Informatik 
Hauptseminar_Trustworthy_and_Energy-Efficient_Smart_Grids;Hauptseminar Trustworthy and Energy-Efficient Smart Grids
Hauptseminar_Usability_von_Informationssystemen;Hauptseminar Usability von Informationssystemen 
Hauptseminar_Wissenschaftliche_Visualisierung;Hauptseminar Wissenschaftliche Visualisierung
Hoch-_und_Höchstfrequenztechnik;Hoch- und Höchstfrequenztechnik
Hochleistungsrechner_und_ihre_Programmierung_I;Hochleistungsrechner und ihre Programmierung I
Hochleistungsrechner_und_ihre_Programmierung_II;Hochleistungsrechner und ihre Programmierung II 
Hochparallele_Simulationsrechnungen_mit_CUDA_und_OpenCL;Hochparallele Simulationsrechnungen mit CUDA und OpenCL 
ICCL_-_Colloquium;ICCL - Colloquium
Industrielle_Kommunikationssysteme;Industrielle Kommunikationssysteme 
Influential_Operating_Systems_Research;Influential Operating Systems Research
Informatik_für_Biologen;Informatik I für Elektrotechniker
Informatik_I_für_Elektrotechniker;Informatik I für Verkehrswissenschaftler
Informatik_I_für_Verkehrswissenschaftler;Informatik II für ET/MT/RES
Informatik_II_für_ET/MT/RES;Informatik II für Maschinenwesen 
Informatik_II_für_Maschinenwesen;Informatik II für Verkehrsingenieurwesen 
Informatik_II_für_Verkehrsingenieurwesen;Informatik und Gesellschaft
Informatik_und_Gesellschaft;Informatik-Anwendungen in der Automation 
Informatik-Anwendungen_in_der_Automation;Informatik für Biologen 
Information_Retrieval;Information Retrieval 
Informations-_und_Kodierungstheorie;Informations- und Kodierungstheorie
Informationsmodelle_in_der_Automation;Informationsmodelle in der Automation 
Informationstheorie;Informationstheorie
Ingenieurgeodäsie;Ingenieurgeodäsie
Ingenieurgeodäsie;Ingenieurgeodäsie
Ingenieurpädagogik;Ingenieurpädagogik
Ingenieurpsychologie_und_kognitive_Ergonomie;Ingenieurpsychologie und kognitive Ergonomie
Intelligent_Information_Systems_(Datalog);Intelligent Information Systems (Datalog)
Intelligente_Systeme;Intelligente Systeme
Interactive_Multimedia_Information_Retrieval;Interactive Multimedia Information Retrieval 
Interaktive_Informationsvisualisierung;Interaktive Informationsvisualisierung
Interaktive_Kartenherstellung;Interaktive Kartenherstellung
Interaktive_Medien_in_der_Schule;Interaktive Medien in der Schule
Interaktive_Systeme;Interaktive Systeme 
Internet_and_Web_Applications;Internet and Web Applications
Internetanwendungen_in_industriellen_Kommunikationssystemen;Internetanwendungen in industriellen Kommunikationssystemen
Internetrecht;Internetrecht
Introduction_to_Complexity_Theory;Introduction to Complexity Theory
Introduction_to_Formal_Concept_Analysis;Introduction to Formal Concept Analysis
Introduction_to_Mathematical_Biology;Introduction to Mathematical Biology
Introduction_to_Mathematical_Biology_II:_Stochastic;Introduction to Mathematical Biology II: Stochastic
Introduction_to_Mathematical_Biology_IV;Introduction to Mathematical Biology IV
Introduction_to_theorem-proving_with_Isabelle/HOL;Introduction to theorem-proving with Isabelle/HOL
iOS_Programmierung;iOS Programmierung
Jahresabschluss;Jahresabschluss
Kanalkodierung;Kanalkodierung 
Kartenredaktion;Kartenredaktion
Knowledge_Representation_and_Reasoning;Knowledge Representation and Reasoning 
Kognitionspsychologie;Kognitionspsychologie
Kommunikationsnetze;Kommunikationsnetze
Komplexpraktikum_Advanced_User_Interfaces;Komplexpraktikum Advanced User Interfaces
Komplexpraktikum_Advanced_Web-Engineering;Komplexpraktikum Advanced Web-Engineering 
Komplexpraktikum_Betriebssysteme;Komplexpraktikum Betriebssysteme
Komplexpraktikum_Bildungsstandards_Informatik;Komplexpraktikum Bildungsstandards Informatik 
Komplexpraktikum_Computer_Vision;Komplexpraktikum Computer Vision
Komplexpraktikum_Cyber_Physical_Systems;Komplexpraktikum Cyber Physical Systems
Komplexpraktikum_Cyber_Physical_Systems;Komplexpraktikum Cyber Physical Systems
Komplexpraktikum_Datenbanken;Komplexpraktikum Datenbanken
Komplexpraktikum_Datenschutz_in_der_Anwendungsentwicklung;Komplexpraktikum Datenschutz in der Anwendungsentwicklung
Komplexpraktikum_Datenschutzfreundliche_Technologien_im_Internet;Komplexpraktikum Datenschutzfreundliche Technologien im Internet 
Komplexpraktikum_DB-Anwendungsentwicklung;Komplexpraktikum DB-Anwendungsentwicklung 
Komplexpraktikum_DB-Infrastrukturen;Komplexpraktikum DB-Infrastrukturen 
Komplexpraktikum_DB-Systemarchitektur;Komplexpraktikum DB-Systemarchitektur 
Komplexpraktikum_Eingebettete_Systeme;Komplexpraktikum Eingebettete Systeme
Komplexpraktikum_Entwicklungsprozesse_für_Ubiquitäre_Systeme_(EUS);Komplexpraktikum Entwicklungsprozesse für Ubiquitäre Systeme (EUS)
Komplexpraktikum_Graphische_Datenverarbeitung;Komplexpraktikum Graphische Datenverarbeitung
Komplexpraktikum_Internet_Information_Retrieval;Komplexpraktikum Internet Information Retrieval 
Komplexpraktikum_Internet_of_Things;Komplexpraktikum Internet of Things
Komplexpraktikum_Kooperative_Interaktion_mittels_Smartphone-Sensoren;Komplexpraktikum Kooperative Interaktion mittels Smartphone-Sensoren
Komplexpraktikum_Kryptographie_und_Datensicherheit;Komplexpraktikum Kryptographie und Datensicherheit
Komplexpraktikum_Linux-Cluster_in_Theorie_und_Praxis;Komplexpraktikum Linux-Cluster in Theorie und Praxis 
Komplexpraktikum_Mediengestaltung;Komplexpraktikum Mediengestaltung 
Komplexpraktikum_Medieninformatik;Komplexpraktikum Medieninformatik
Komplexpraktikum_Medieninformatik_-_Computergraphik;Komplexpraktikum Medieninformatik - Computergraphik
Komplexpraktikum_Medieninformatik_-_Computergraphik;Komplexpraktikum Medieninformatik - Computergraphik
Komplexpraktikum_Medieninformatik_-_Didaktik;Komplexpraktikum Medieninformatik - Didaktik
Komplexpraktikum_Medieninformatik_-_Didaktik;Komplexpraktikum Medieninformatik - Didaktik
Komplexpraktikum_Medieninformatik_-_Informationsvisualisierung;Komplexpraktikum Medieninformatik - Informationsvisualisierung
Komplexpraktikum_Medieninformatik_-_Informationsvisualisierung;Komplexpraktikum Medieninformatik - Informationsvisualisierung
Komplexpraktikum_Medieninformatik_-_Multimediatechnologie;Komplexpraktikum Medieninformatik - Multimediatechnologie
Komplexpraktikum_Medieninformatik_-_Multimediatechnologie;Komplexpraktikum Medieninformatik - Multimediatechnologie
Komplexpraktikum_Mensch-Computer_Interaktion;Komplexpraktikum Mensch-Computer Interaktion 
